year,name,college,height_in,weight_lbs,hand_size_in,arm_length_in,40_yard,bench_press,vert_leap_in,broad_jump_in,shuttle,3cone,60yd_shuttle,bodytype,pos,seasons,wAV,games,round,overall,pick,Fitzgerald-Spielberger,Johnson,Schuckers,ras,tsa
1998,Ryan Sutter,Colorado,73.1,203,9.13,32.75,4.61,17,33.5,120,4.13,7.07,11.33,SKILL,DB,1,0,1,5,133,5,522,40,200,5.605,3.701
1998,Sammy Williams,Oklahoma,76.5,318,10.5,34.13,5.5,16,25.5,98,5.16,9.28,,BIG,OL,5,7,29,6,164,4,416,26,146,2.114,1.061
1998,Stephen Alexander,Oklahoma,76.4,246,9.5,33.25,4.65,18,35.5,122,4.09,7.48,11.19,STRONG,TE,9,20,118,2,48,16,1038,420,552,6.296,4.096
1998,Tavian Banks,Iowa,69.6,198,9.63,31.88,4.48,15,39,125,3.95,7.34,11.06,STRONG,RB,2,3,14,4,101,5,661,96,286,5.453,2.796
1998,Toby Myles,Jackson State (MS),76.6,313,10,34.88,5.32,17,29.5,109,4.84,8.64,,BIG,OL,4,1,11,5,147,19,471,33,171,3.555,2.395
1998,Todd Washington,Virginia Tech,75.1,312,9.75,35.13,5.4,15,25.5,101,4.81,8.33,,BIG,OL,8,12,97,4,104,8,646,86,275,2.232,1.201
1998,Todd Weiner,Kansas State,76.4,297,10.5,34.25,5.07,27,33.5,108,4.53,8.15,,BIG,OL,11,47,152,2,47,15,1049,430,559,6.121,4.02
1998,Victor Riley,Auburn,76.6,333,10.75,36.13,5.55,23,23,91,5.02,8.77,,BIG,OL,8,40,111,1,27,27,1330,680,724,2.711,1.807
1998,Wilmont Perry,Livingstone (NC),73.6,235,10.13,33.88,4.74,16,33,108,4.56,7.75,12.22,STRONG,RB,2,2,13,5,132,4,526,40,202,3.082,1.74
1998,Zack Walz,Dartmouth (NH),75.9,228,10,32.25,4.79,13,33.5,116,4.11,7.42,11.2,STRONG,LB,4,8,46,6,158,30,434,28,152,4.172,2.411
1999,Aaron Gibson,Wisconsin,78.1,386,10.5,35.5,5.35,31,24,111,4.54,7.99,,BIG,OL,6,14,38,1,27,27,1330,680,724,5.846,4.338
1999,Aaron Smith,Northern Colorado,77.1,279,10.13,32,5.08,19,29.5,110,4.34,7.48,,BIG,DL,13,71,160,4,109,13,623,76,259,5.537,2.905
1999,Adrian Dingle,Clemson,74.5,290,8.88,32.88,4.94,20,33,112,4.4,7.43,,BIG,DL,6,12,70,5,139,11,499,37,187,5.836,2.972
1999,Al Wilson,Tennessee,71.8,239,8.75,31.5,4.56,17,33,116,4.25,7.31,,STRONG,LB,8,67,125,1,31,31,1260,600,687,5.069,2.662
1999,Anthony McFarland,Louisiana State,72.5,299,10,33.38,4.85,25,28.5,108,4.28,7.98,,BIG,DL,8,43,109,1,15,15,1628,1050,842,5.694,3.089
1999,Anthony Parker,Weber State (UT),72.6,197,9.38,31.13,4.39,8,31,113,4.27,7.56,,SKILL,DB,3,1,21,4,99,3,671,104,293,3.893,1.597
1999,Antico Dalton,Hampton (VA),73.1,242,9.25,30.75,4.76,30,35,113,4.32,7.49,11.99,STRONG,LB,2,1,5,6,199,7,318,12,135,5.545,4.002
1999,Antonio Cochran,Georgia,75.6,297,9,33.5,5.11,19,33,112,4.55,7.87,,BIG,DL,7,19,85,4,115,19,595,64,241,5.008,2.876
1999,Antonio Dingle,Virginia,73.9,320,10.25,33.25,5.28,22,31,102,4.85,8.12,,BIG,DL,1,0,9,7,214,22,281,6,130,3.685,2.444
1999,Autry Denson,Notre Dame,69.5,197,9.38,29.25,4.67,20,31,115,4.15,6.97,11.43,STRONG,RB,4,3,34,7,233,4.731,2.177
1999,Barry Gardner,Northwestern,72.4,242,10,32.25,4.72,25,33,113,4.32,7.42,11.6,STRONG,LB,7,18,110,2,35,3,1198,550,653,5.190,3.496
1999,Brad Scioli,Penn State,75,277,10,32,4.93,23,33.5,108,4.27,7.37,,BIG,DL,6,14,80,5,138,10,503,37,189,6.275,3.329
1999,Bryce Fisher,Air Force,75.6,283,10,31.5,4.98,19,31,106,4.34,7.64,,BIG,DL,9,26,91,7,248,5.290,2.596
1999,Cameron Spikes,Texas A&M,75.3,314,10.13,33,5.01,23,32.5,114,4.36,7.51,,BIG,OL,6,13,63,5,145,17,478,34,175,6.693,3.962
1999,Cecil Martin,Wisconsin,72.6,239,9.5,31,4.82,22,35.5,109,4.22,7.31,11.99,STRONG,RB,5,5,61,6,172,12,391,23,141,4.802,3.162
1999,Chad Kelsay,Nebraska,74.5,254,9.63,32,4.91,22,35.5,116,4.3,7.09,11.68,STRONG,LB,1,0,6,7,219,27,269,4,127,5.661,4.062
1999,Chris Claiborne,Southern California,74.4,248,8.63,31.63,4.63,16,34,115,4.37,7.68,11.93,STRONG,LB,8,34,105,1,9,9,1887,1350,907,4.778,2.891
